ano,estado,estado_cod,ntl_idx,fuente
2005,Monagas,MO,10.702,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Nueva Esparta,NE,20.1265,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Portuguesa,PO,9.1195,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Sucre,SU,8.3111,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Tachira,TA,9.2179,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Trujillo,TR,9.2848,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Vargas,VA,24.7839,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Yaracuy,YA,10.4777,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Zulia,ZU,11.5205,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2006,Amazonas,AM,13.5162,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Anzoategui,AN,12.9994,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Apure,AP,10.0602,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Aragua,AR,19.6594,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Barinas,BA,9.4204,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Bolivar,BO,13.004,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2006,Carabobo,CA,16.7386,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
