año,mes,fecha,pulse_score,cobertura_pct,disponibilidad_pct,n_vars,n_vars_total,produccion_disponible,mes_cerrado,elegible_modelo,estado,delta_1m,delta_comparable_1m,efecto_composicion_1m,cobertura_comun_1m_pct,composicion_estable_1m,delta_3m,delta_comparable_3m,efecto_composicion_3m,cobertura_comun_3m_pct,composicion_estable_3m
2018,7,2018-07-01,42.36,96.0,96.0,14,15,True,True,True,utilizable,-1.6,-1.5969,-0.0031,96.0,True,-0.78,-0.7728,-0.0072,96.0,True
2018,8,2018-08-01,31.58,96.0,96.0,14,15,True,True,True,utilizable,-10.78,-10.7866,0.0066,96.0,True,-7.94,-7.9468,0.0068,96.0,True
2018,9,2018-09-01,40.95,96.0,96.0,14,15,True,True,True,utilizable,9.37,9.377,-0.007,96.0,True,-3.01,-3.0064,-0.0036,96.0,True
2018,10,2018-10-01,37.8,96.0,96.0,14,15,True,True,True,utilizable,-3.15,-3.1543,0.0043,96.0,True,-4.56,-4.5639,0.0039,96.0,True
2018,11,2018-11-01,42.7,96.0,96.0,14,15,True,True,True,utilizable,4.9,4.902,-0.002,96.0,True,11.12,11.1247,-0.0047,96.0,True
2018,12,2018-12-01,34.79,96.0,96.0,14,15,True,True,True,utilizable,-7.91,-7.9119,0.0019,96.0,True,-6.16,-6.1642,0.0042,96.0,True
2019,1,2019-01-01,25.8,96.0,96.0,14,15,True,True,True,utilizable,-8.99,-8.9926,0.0026,96.0,True,-12.0,-12.0025,0.0025,96.0,True
2019,2,2019-02-01,25.89,96.0,96.0,14,15,True,True,True,utilizable,0.09,0.0954,-0.0054,96.0,True,-16.81,-16.8091,-0.0009,96.0,True
2019,3,2019-03-01,29.95,96.0,96.0,14,15,True,True,True,utilizable,4.06,4.0567,0.0033,96.0,True,-4.84,-4.8406,0.0006,96.0,True
2019,4,2019-04-01,35.03,96.0,96.0,14,15,True,True,True,utilizable,5.08,5.077,0.003,96.0,True,9.23,9.229,0.001,96.0,True
2019,5,2019-05-01,29.99,96.0,96.0,14,15,True,True,True,utilizable,-5.04,-5.0349,-0.0051,96.0,True,4.1,4.0987,0.0013,96.0,True
2019,6,2019-06-01,39.14,96.0,96.0,14,15,True,True,True,utilizable,9.15,9.1458,0.0042,96.0,True,9.19,9.1878,0.0022,96.0,True
2019,7,2019-07-01,39.16,96.0,96.0,14,15,True,True,True,utilizable,0.02,0.0236,-0.0036,96.0,True,4.13,4.1345,-0.0045,96.0,True
2019,8,2019-08-01,38.29,96.0,96.0,14,15,True,True,True,utilizable,-0.87,-0.8728,0.0028,96.0,True,8.3,8.2966,0.0034,96.0,True
2019,9,2019-09-01,42.31,96.0,96.0,14,15,True,True,True,utilizable,4.02,4.024,-0.004,96.0,True,3.17,3.1748,-0.0048,96.0,True
2019,10,2019-10-01,43.83,96.0,96.0,14,15,True,True,True,utilizable,1.52,1.5218,-0.0018,96.0,True,4.67,4.673,-0.003,96.0,True
2019,11,2019-11-01,45.73,96.0,96.0,14,15,True,True,True,utilizable,1.9,1.8936,0.0064,96.0,True,7.44,7.4394,0.0006,96.0,True
2019,12,2019-12-01,44.16,96.0,96.0,14,15,True,True,True,utilizable,-1.57,-1.5628,-0.0072,96.0,True,1.85,1.8525,-0.0025,96.0,True
2020,1,2020-01-01,44.29,96.0,96.0,14,15,True,True,True,utilizable,0.13,0.1294,0.0006,96.0,True,0.46,0.4601,-0.0001,96.0,True
2020,2,2020-02-01,42.33,96.0,96.0,14,15,True,True,True,utilizable,-1.96,-1.9618,0.0018,96.0,True,-3.4,-3.3952,-0.0048,96.0,True
2020,3,2020-03-01,27.65,96.0,96.0,14,15,True,True,True,utilizable,-14.68,-14.6828,0.0028,96.0,True,-16.51,-16.5152,0.0052,96.0,True
2020,4,2020-04-01,32.69,96.0,96.0,14,15,True,True,True,utilizable,5.04,5.0378,0.0022,96.0,True,-11.6,-11.6068,0.0068,96.0,True
2020,5,2020-05-01,32.66,96.0,96.0,14,15,True,True,True,utilizable,-0.03,-0.0263,-0.0037,96.0,True,-9.67,-9.6713,0.0013,96.0,True
2020,6,2020-06-01,40.35,96.0,96.0,14,15,True,True,True,utilizable,7.69,7.6857,0.0043,96.0,True,12.7,12.6972,0.0028,96.0,True
2020,7,2020-07-01,42.76,96.0,96.0,14,15,True,True,True,utilizable,2.41,2.4175,-0.0075,96.0,True,10.07,10.0769,-0.0069,96.0,True
