archivo,variable,año,valor_local,valor_oficial,tolerancia_absoluta,coincide,evidencia
freedom_house.csv,freedom_house_score,2022,15.0,15.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2021,14.0,14.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2020,14.0,14.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2019,16.0,16.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2018,19.0,19.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2017,26.0,26.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2016,30.0,30.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2015,35.0,35.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2014,35.0,35.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2013,38.0,38.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2012,39.0,39.0,1e-09,True,fh2013_2024.xlsx
freedom_house.csv,freedom_house_score,2024,13.0,13.0,1e-09,True,fh2025.html
freedom_house.csv,freedom_house_score,2025,13.0,13.0,1e-09,True,fh2026.html
hdi.csv,hdi,2000,0.703,0.703,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2001,0.708,0.708,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2002,0.716,0.716,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2003,0.707,0.707,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2004,0.718,0.718,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2005,0.728,0.728,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2006,0.736,0.736,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2007,0.753,0.753,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2008,0.759,0.759,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2009,0.76,0.76,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2010,0.764,0.764,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2011,0.77,0.77,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2012,0.772,0.772,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2013,0.773,0.773,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2014,0.77,0.77,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2015,0.768,0.768,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2016,0.761,0.761,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2017,0.749,0.749,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2018,0.741,0.741,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2019,0.724,0.724,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2020,0.699,0.699,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2021,0.696,0.696,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2022,0.706,0.706,0.00050001,True,hdi_owid.csv
hdi.csv,hdi,2023,0.709,0.709,0.00050001,True,hdi_owid.csv
